PERMNO,DelistingDt,DelDtPrc,DelDtPrcFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,DelPERMNO,DelPERMCO,DelRet,DelRetMissType,DelNextDt,DelNextPrc,DelNextPrcFlg,DelAmtDt,DelDivAmt,DelDisType,DelDlyDt,PrimaryExch,SICCD,NASDIssuno
10001,2017-08-03,13.100000,TR,MER,FPAY,UNAV,CASH,0,0,0.000000,NA,,,DA,2017-08-04,13.100000,D1,2017-08-04,A,4925,10398
10025,2017-01-20,109.950000,TR,MER,FPAY,UNAV,CST,13604,54198,0.002556,NA,,,DA,2017-01-23,110.231000,D2,2017-01-23,Q,3081,10432
10051,2022-10-03,12.365000,BA,MER,FPAY,UNAV,CASH,0,0,0.516377,NA,,,DA,2022-10-04,18.750000,D1,2022-10-04,N,4813,10468
10116,2017-02-22,0.620000,TR,GDR,VCL,SHLD,PRCF,0,0,-0.032258,NA,2017-02-23,0.600000,DP,2017-02-23,0.000000,NO,2017-02-23,Q,2834,70081028
10147,2016-09-06,29.050000,TR,MER,FPAY,UNAV,CST,16267,55676,0.012051,NA,,,DA,2016-09-07,29.400080,D2,2016-09-07,N,3572,10615
10151,2015-08-07,19.379900,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.001928,NA,,,DA,2015-08-10,19.342530,D1,2015-08-10,R,6726,0
10180,2020-05-29,0.090000,TR,GDR,VCL,BKPY,PRCF,0,0,-0.166667,NA,2020-06-01,0.075000,DP,2020-06-01,0.000000,NO,2020-06-01,Q,2834,12980
10182,2020-06-29,144.900000,TR,MER,FPAY,UNAV,CASH,0,53688,0.000690,NA,,,DA,2020-06-30,145.000000,D1,2020-06-30,Q,5040,10660
10201,2021-05-14,3.020000,TR,MER,FPAY,UNAV,CASH,0,0,0.003311,NA,,,DA,2021-05-17,3.030000,D1,2021-05-17,N,4911,0
10223,2014-03-27,2.030000,TR,MER,FPAY,UNAV,CASH,0,0,0.009852,NA,,,DA,2014-03-28,2.050000,D1,2014-03-28,N,7371,0
10225,2014-04-30,83.470000,TR,MER,FPAY,UNAV,CASH,0,0,0.000359,NA,,,DA,2014-05-01,83.500000,D1,2014-05-01,N,3433,0
10232,2022-05-13,23.080000,TR,MER,FPAY,UNAV,CASH,0,7871,0.000867,NA,,,DA,2022-05-16,23.100000,D1,2022-05-16,Q,6035,10697
10239,2021-05-28,23.300000,TR,MER,FPAY,UNAV,CASH,0,3682,0.000000,NA,,,DA,2021-06-01,23.300000,D1,2021-06-01,Q,6331,924
10259,2018-08-24,0.235500,TR,GDR,VCL,CORQ,PRCF,0,0,-0.087049,NA,2018-08-27,0.215000,DP,2018-08-27,0.000000,NO,2018-08-27,Q,3570,10743
10297,2017-01-13,21.940000,TR,MER,FPAY,UNAV,STK,85332,32069,-0.006000,NA,,,DA,2017-01-17,21.808360,D1,2017-01-17,Q,6035,10785
10299,2017-03-10,65.000000,TR,MER,FPAY,UNAV,CST,60871,282,0.003209,NA,,,DA,2017-03-13,65.208600,D2,2017-03-13,Q,3670,10788
10302,2020-04-15,23.820000,TR,MER,FPAY,UNAV,CASH,0,0,0.001259,NA,,,DA,2020-04-16,23.850000,D1,2020-04-16,Q,3674,24762
10353,2016-03-31,9.710000,TR,GDR,VCL,CORQ,PRCF,0,0,-0.031926,NA,2016-04-01,9.400000,DP,2016-04-01,0.000000,NO,2016-04-01,Q,3570,10876
10363,2020-11-13,13.750000,TR,MER,FPAY,UNAV,CASH,0,0,0.000000,NA,,,DA,2020-11-16,13.750000,D1,2020-11-16,Q,2834,10886
10375,2019-07-31,21.380000,TR,MER,FPAY,UNAV,STK,11992,9882,-0.021349,NA,,,DA,2019-08-01,20.923560,D1,2019-08-01,N,6021,10895
10395,2019-05-22,69.960000,TR,MER,FPAY,UNAV,CASH,0,31386,0.000572,NA,,,DA,2019-05-23,70.000000,D1,2019-05-23,Q,6330,10934
10507,2014-09-30,13.780000,TR,MER,FPAY,UNAV,CASH,0,3321,0.001451,NA,,,DA,2014-10-01,13.800000,D1,2014-10-01,Q,3840,9511
