coid,mdate,tcri,scr,xcdt
1103,2014-12-01 00:00:00+00:00,6,400,
1103,2015-12-01 00:00:00+00:00,6,432,
1103,2016-12-01 00:00:00+00:00,6,371,
1103,2017-12-01 00:00:00+00:00,6,330,
1103,2018-12-01 00:00:00+00:00,6,331,
1103,2019-12-01 00:00:00+00:00,6,359,
1103,2020-12-01 00:00:00+00:00,6,574,
1103,2021-12-01 00:00:00+00:00,6,401,
1103,2022-12-01 00:00:00+00:00,6,383,
1103,2023-12-01 00:00:00+00:00,6,417,
1103,2024-12-01 00:00:00+00:00,6,424,
1104,2014-12-01 00:00:00+00:00,5,617,
1104,2015-12-01 00:00:00+00:00,5,598,
1104,2016-12-01 00:00:00+00:00,5,632,
1104,2017-12-01 00:00:00+00:00,5,585,
1104,2018-12-01 00:00:00+00:00,5,549,
1104,2019-12-01 00:00:00+00:00,5,549,
1104,2020-12-01 00:00:00+00:00,5,612,
1104,2021-12-01 00:00:00+00:00,5,616,
1104,2022-12-01 00:00:00+00:00,5,657,
1104,2023-12-01 00:00:00+00:00,5,696,
1104,2024-12-01 00:00:00+00:00,5,688,
1108,2014-12-01 00:00:00+00:00,7,443,
1108,2015-12-01 00:00:00+00:00,6,502,
1108,2016-12-01 00:00:00+00:00,6,405,
1108,2017-12-01 00:00:00+00:00,7,259,
1108,2018-12-01 00:00:00+00:00,7,242,
1108,2019-12-01 00:00:00+00:00,7,307,
1108,2020-12-01 00:00:00+00:00,6,449,
1108,2021-12-01 00:00:00+00:00,6,357,
1108,2022-12-01 00:00:00+00:00,6,455,
1108,2023-12-01 00:00:00+00:00,6,458,
1108,2024-12-01 00:00:00+00:00,6,441,
1109,2014-12-01 00:00:00+00:00,6,541,
1109,2015-12-01 00:00:00+00:00,6,462,
1109,2016-12-01 00:00:00+00:00,6,519,
1109,2017-12-01 00:00:00+00:00,5,678,
1109,2018-12-01 00:00:00+00:00,5,721,
1109,2019-12-01 00:00:00+00:00,5,761,
1109,2020-12-01 00:00:00+00:00,5,756,
1109,2021-12-01 00:00:00+00:00,5,725,
1109,2022-12-01 00:00:00+00:00,5,632,
1109,2023-12-01 00:00:00+00:00,5,666,
1109,2024-12-01 00:00:00+00:00,5,591,
1110,2014-12-01 00:00:00+00:00,6,462,
1110,2015-12-01 00:00:00+00:00,6,395,
1110,2016-12-01 00:00:00+00:00,6,341,
1110,2017-12-01 00:00:00+00:00,6,402,
1110,2018-12-01 00:00:00+00:00,6,357,
1110,2019-12-01 00:00:00+00:00,6,319,
1110,2020-12-01 00:00:00+00:00,6,303,
1110,2021-12-01 00:00:00+00:00,6,270,
1110,2022-12-01 00:00:00+00:00,6,241,
1110,2023-12-01 00:00:00+00:00,6,275,
1110,2024-12-01 00:00:00+00:00,6,400,
1201,2014-12-01 00:00:00+00:00,7,498,
1201,2015-12-01 00:00:00+00:00,8,-239,
1201,2016-12-01 00:00:00+00:00,9,-435,
1201,2017-12-01 00:00:00+00:00,9,126,
1201,2018-12-01 00:00:00+00:00,7,430,
1201,2019-12-01 00:00:00+00:00,7,523,
1201,2020-12-01 00:00:00+00:00,6,603,
1201,2021-12-01 00:00:00+00:00,6,599,
1201,2022-12-01 00:00:00+00:00,6,557,
1201,2023-12-01 00:00:00+00:00,6,542,
1201,2024-12-01 00:00:00+00:00,6,589,
1203,2014-12-01 00:00:00+00:00,6,559,
1203,2015-12-01 00:00:00+00:00,6,595,
1203,2016-12-01 00:00:00+00:00,5,654,
1203,2017-12-01 00:00:00+00:00,5,682,
1203,2018-12-01 00:00:00+00:00,5,665,
1203,2019-12-01 00:00:00+00:00,5,651,
1203,2020-12-01 00:00:00+00:00,5,658,
1203,2021-12-01 00:00:00+00:00,5,638,
1203,2022-12-01 00:00:00+00:00,5,595,
1203,2023-12-01 00:00:00+00:00,5,627,
1203,2024-12-01 00:00:00+00:00,5,658,
1213,2014-12-01 00:00:00+00:00,7,411,
1213,2015-12-01 00:00:00+00:00,7,432,
1213,2016-12-01 00:00:00+00:00,7,408,
1213,2017-12-01 00:00:00+00:00,7,376,
1213,2018-12-01 00:00:00+00:00,9,246,
1213,2019-12-01 00:00:00+00:00,9,259,
1213,2020-12-01 00:00:00+00:00,9,135,
1213,2021-12-01 00:00:00+00:00,9,76,
1213,2022-12-01 00:00:00+00:00,9,79,
1213,2023-12-01 00:00:00+00:00,D,-384,
1213,2024-12-01 00:00:00+00:00,9,271,
1217,2014-12-01 00:00:00+00:00,7,254,
1217,2015-12-01 00:00:00+00:00,7,302,
1217,2016-12-01 00:00:00+00:00,7,334,
1217,2017-12-01 00:00:00+00:00,7,333,
1217,2018-12-01 00:00:00+00:00,7,341,
1217,2019-12-01 00:00:00+00:00,7,368,
1217,2020-12-01 00:00:00+00:00,7,411,
1217,2021-12-01 00:00:00+00:00,7,409,
1217,2022-12-01 00:00:00+00:00,7,383,
1217,2023-12-01 00:00:00+00:00,7,383,
1217,2024-12-01 00:00:00+00:00,7,406,
1218,2014-12-01 00:00:00+00:00,6,407,
1218,2015-12-01 00:00:00+00:00,6,433,
1218,2016-12-01 00:00:00+00:00,6,427,
1218,2017-12-01 00:00:00+00:00,6,488,
1218,2018-12-01 00:00:00+00:00,6,581,
1218,2019-12-01 00:00:00+00:00,6,597,
1218,2020-12-01 00:00:00+00:00,5,649,
1218,2021-12-01 00:00:00+00:00,5,596,
1218,2022-12-01 00:00:00+00:00,6,492,
1218,2023-12-01 00:00:00+00:00,6,508,
1219,2014-12-01 00:00:00+00:00,5,522,
1219,2015-12-01 00:00:00+00:00,5,448,
1219,2016-12-01 00:00:00+00:00,5,473,
1219,2017-12-01 00:00:00+00:00,5,439,
1219,2018-12-01 00:00:00+00:00,5,412,
1219,2019-12-01 00:00:00+00:00,6,419,
1219,2020-12-01 00:00:00+00:00,6,552,
1219,2021-12-01 00:00:00+00:00,6,543,
1219,2022-12-01 00:00:00+00:00,6,504,
1219,2023-12-01 00:00:00+00:00,6,509,
